method	strategy	cost_scope	batch_size	usd_per_specimen	scenario_basis	observed_plex_reference
direct_nanopore	optimized_nbd96	consumables_only	1	958.2704167	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	2	485.7770833	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	3	328.2793056	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	4	249.5304167	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	5	202.2810833	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	6	170.7815278	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	7	148.2818452	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	8	131.4070833	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	9	118.2822685	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	10	107.7824167	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	11	99.19162879	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	12	92.03263889	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	13	85.97503205	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	14	80.78279762	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	15	76.28286111	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	16	72.34541667	modeled 1–24-plex range	true
direct_nanopore	optimized_nbd96	consumables_only	17	68.87120098	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	18	65.78300926	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	19	63.01989035	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	20	60.53308333	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	21	58.28311508	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	22	56.23768939	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	23	54.37012681	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	24	52.65819444	modeled 1–24-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	24	52.65819444	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	25	54.24988333	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	26	52.67426282	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	27	51.21535494	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	28	49.86065476	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	29	48.59938218	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	30	47.42219444	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	31	46.3209543	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	32	45.28854167	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	33	44.31869949	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	34	43.40590686	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	35	42.54527381	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	36	41.7324537	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	37	40.96356982	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	38	40.23515351	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	39	39.54409188	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	40	38.88758333	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	41	38.26309959	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	42	37.66835317	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	43	37.10126938	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	44	36.55996212	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	45	36.04271296	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	46	35.5479529	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	47	35.07424645	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	48	34.62027778	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	49	37.41613095	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	50	36.93348333	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	51	36.46976307	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	52	36.02387821	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	53	35.59481918	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	54	35.18165123	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	55	34.78350758	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	56	34.39958333	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	57	34.02913012	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	58	33.67145115	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	59	33.32589689	modeled 24–96-plex range	false
direct_nanopore	optimized_nbd96	consumables_only	60	32.99186111	modeled 24–96-plex range	false
